dia,data,tema,formato,objetivo,hook,call_to_action
1,19/05/2026 (ter),Conheca as 3 cidades que estao bombando no interior de SP,carrossel,atrair,"Aguas de Sao Pedro, Sao Pedro e Brotas — o triangulo dourado do turismo paulista","Salva esse post pra planejar sua proxima viagem pro interior!"
2,20/05/2026 (qua),O que faz um hotel ser INESQUECIVEL (nao e o preco),carrossel,engajar,"Voce ja se hospedou num lugar que nao queria mais ir embora? Nao foi por acaso.","Comenta aqui: qual foi o hotel mais marcante que voce ja ficou?"
3,21/05/2026 (qui),Bastidores: nossa 1a viagem pra Aguas de Sao Pedro,reel,engajar,"A primeira vez que a gente pisou em Aguas de Sao Pedro foi assim...","Segue @agenteviajabrasil pra mais conteudo real de viagem!"
4,22/05/2026 (sex),Top 5 hoteis fazenda no interior de SP pra ir com a familia,carrossel,atrair,"Ferias de julho chegando e voce ainda nao reservou o hotel da familia?","Manda esse post pra aquela pessoa que precisa combinar a viagem com voce!"
5,23/05/2026 (sab),ANTES E DEPOIS: esse hotel tinha 30% de ocupacao antes da nossa collab,reel,converter,"Esse hotel em Brotas estava com 30% de ocupacao. Ai a gente entrou...","Hoteleiro, manda DM que te conto como lotar seu hotel tambem!"
6,24/05/2026 (dom),O que @agenteviajabrasil pode fazer pelo seu hotel (abertura de vagas),carrossel,converter,"452 mil pessoas apaixonadas por viagem. Seu hotel deveria aparecer pra elas.","Sao so 4 vagas esse mes. Manda DM agora pra nao ficar de fora!"
7,25/05/2026 (seg),Um dia inteiro no hotel fazenda mais acolhedor de Sao Pedro,reel,atrair,"Acordar com vista pra serra, cafe colonial e piscina natural. Esse hotel existe.","Salva esse reel pra sua proxima viagem e segue @agenteviajabrasil!"
8,26/05/2026 (ter),Por que seu hotel precisa de conteudo ORGANICO (e nao so anuncio),carrossel,engajar,"Anuncio pago acaba. Conteudo organico bom fica no feed PRA SEMPRE trazendo hospede.","Hoteleiro, manda DM que te mostro como funciona na pratica!"
9,27/05/2026 (qua),CASE REAL: Hotel X dobrou as reservas diretas com 1 collab nossa,reel,converter,"Esse hotel nao acreditou quando viu os numeros depois de 1 collab com a gente.","Seu hotel pode ser o proximo. Manda DM e vamos conversar!"
10,28/05/2026 (qui),Como a gente produz conteudo que realmente CONVERTE em reserva,reel,converter,"Nao e so gravar e postar. Tem metodo, estrategia e dados por tras de cada conteudo.","Hoteleiro que quer resultado de verdade, manda DM e bora trocar ideia!"
11,29/05/2026 (sex),3 destinos no interior de SP que estao mais baratos que praia,carrossel,atrair,"Praia em julho e caro e lotado. Esses 3 destinos sao melhores e mais baratos.","Qual desses voce escolheria? Comenta ai! E salva pra planejar a viagem!"
12,30/05/2026 (sab),Transformacao: da pousada vazia pro hotel mais falado da regiao,reel,converter,"Essa pousada em Aguas de Sao Pedro tava vazia. 45 dias depois...","Hoteleiro que quer esse resultado, comenta QUERO que a gente conversa!"
13,31/05/2026 (dom),Seu hotel no perfil de viagens MAIS AMADO do Brasil,carrossel,converter,"452 mil seguidores. Alcance de ate 800K por post. CPM de centavos. Sua vaga ta aqui.","3 vagas restantes esse mes. DM agora ou fica pro proximo!"
14,01/06/2026 (seg),Brotas por dentro: cachoeiras, aventura e hoteis incriveis,reel,atrair,"Voce conhece Brotas so de nome. A gente mostra o que realmente importa.","Marca a pessoa que precisa viajar com voce e segue @agenteviajabrasil!"
15,02/06/2026 (ter),CPM de R$0,15: a conta que nenhum hoteleiro pode ignorar,carrossel,converter,"Meta Ads cobra R$15-25 por 1.000 impactos. Com a gente, o CPM e R$0,15. 98% mais barato.","Hoteleiro inteligente, manda DM e descobre como seu hotel entra nessa conta!"
16,03/06/2026 (qua),DEPOIMENTO REAL: o que esse dono de pousada falou depois da collab,reel,converter,"'Achei que era so mais uma publi. Nao era.' — Dono de pousada em Brotas.","Hoteleiro, manda DM que a gente faz um plano personalizado pro seu hotel!"
17,04/06/2026 (qui),Nosso processo criativo: do briefing ao post bombado,reel,engajar,"Cada post que voce ve aqui tem em media 6 horas de producao por tras.","Segue @agenteviajabrasil e ativa as notificacoes pra nao perder nada!"
18,05/06/2026 (sex),Comparacao: anuncio pago x collab organica — qual da mais resultado?,carrossel,converter,"Anuncio = 24h no ar, ninguem confia. Collab organica = pra sempre no feed, confianca real.","Hoteleiro, manda DM que te mostro os numeros lado a lado!"
19,06/06/2026 (sab),Hotel fazenda que virou febre depois da nossa collab,reel,converter,"Tava todo mundo indo pra praia. Ai a gente mostrou ESSE hotel fazenda...","Quer seu hotel no proximo post? Manda DM — 2 vagas essa semana!"
20,07/06/2026 (dom),POR QUE a regiao de Aguas de Sao Pedro e o melhor investimento agora,carrossel,converter,"Turismo no interior de SP cresceu 40% e a regiao de voces e a MAIS procurada.","Hotel na regiao? Manda DM AGORA que essa oportunidade nao volta!"
21,08/06/2026 (seg),24 horas em Sao Pedro: onde comer, onde ficar, o que fazer,reel,atrair,"Sao Pedro e muito mais que o Thermas. A gente montou o roteiro definitivo.","Salva esse reel pro seu fim de semana e compartilha com quem vai junto!"
22,09/06/2026 (ter),5 erros que afastam hospedes do seu hotel (e como corrigir),carrossel,engajar,"Seu hotel pode ser lindo, mas se cometer esses 5 erros, o hospede vai pro concorrente.","Hoteleiro, salva esse post e confere se seu hotel nao ta cometendo nenhum!"
23,10/06/2026 (qua),+280 reservas em 15 dias — o poder de 1 collab bem feita,reel,converter,"Esse hotel recebeu 280 reservas DIRETAS nos 15 dias apos nossa collab. Sim, isso e real.","Seu hotel pode ser o case da proxima semana. Manda DM!"
24,11/06/2026 (qui),A diferenca entre um influenciador qualquer e o @agenteviajabrasil,carrossel,converter,"Influenciador faz publi. A gente faz parceria, estrategia e RESULTADO. Entenda a diferenca.","Hoteleiro que quer PARCERIA de verdade, manda DM pra gente conversar!"
25,12/06/2026 (sex),Lista definitiva: os hoteis mais reservados do interior de SP,carrossel,atrair,"Montamos a lista com OS HOTEIS que mais recebem reservas no interior. O seu ta nela?","Comenta qual hotel merecia estar nessa lista e manda DM pra gente conversar!"
26,13/06/2026 (sab),ULTIMA VAGA: o hotel que entrou na ultima vaga do mes passado e o que aconteceu,reel,converter,"Mes passado, esse hotel pegou a ultima vaga. Ve o que aconteceu em 30 dias...","ULTIMA VAGA da semana. So 1. Manda DM antes que alguem pegue!"
27,14/06/2026 (dom),Julho ta chegando: seu hotel vai lotar ou vai ficar vazio?,carrossel,converter,"Ferias de julho = maior temporada do ano no interior. Seu hotel vai APARECER ou SUMIR?","Resolve isso AGORA. Manda DM e fecha sua collab pra julho!"
28,15/06/2026 (seg),O melhor de Aguas de Sao Pedro em 1 minuto,reel,atrair,"Aguas de Sao Pedro em 60 segundos: o destino que voce precisa conhecer AGORA.","Compartilha com seu grupo de viagem e segue @agenteviajabrasil!"
29,16/06/2026 (ter),ROI de 10x a 50x: a matematica que esta enchendo hotel no interior,carrossel,converter,"Invista R$350. Receba 20-50 reservas. Essa conta fecha em qualquer hotel.","Hoteleiro que gosta de resultado, manda DM e bora calcular o ROI do SEU hotel!"
30,17/06/2026 (qua),FECHAMOS A CAMPANHA: obrigado a todos os hoteis parceiros!,reel,converter,"A campanha de 30 dias em Aguas de Sao Pedro, Sao Pedro e Brotas foi INCRIVEL!","Proxima regiao ja tem fila de espera. Quer seu hotel na proxima? Manda DM!"
